run_id,k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
643,0.7222222222222222,1.1851851851851851,0.00217,0.00014730919862656234,0.00162,0.00012727922061357857
644,0.7222222222222222,1.2037037037037037,0.00214,0.00014628738838327792,0.0016,0.00012649110640673518
645,0.7222222222222222,1.2222222222222223,0.00212,0.00014560219778561037,0.0016,0.00012649110640673518
646,0.7222222222222222,1.2407407407407407,0.0021,0.00014491376746189437,0.0016,0.00012649110640673518
647,0.7222222222222222,1.259259259259259,0.00208,0.00014422205101855958,0.0016,0.00012649110640673518
648,0.7222222222222222,1.2777777777777777,0.00205,0.00014317821063276353,0.00158,0.00012569805089976535
649,0.7222222222222222,1.2962962962962963,0.00204,0.00014282856857085702,0.00157,0.0001252996408614167
650,0.7222222222222222,1.3148148148148149,0.00204,0.00014282856857085702,0.00156,0.00012489995996796798
651,0.7222222222222222,1.3333333333333333,0.00202,0.00014212670403551894,0.00156,0.00012489995996796798
652,0.7222222222222222,1.3518518518518519,0.00199,0.00014106735979665884,0.00153,0.0001236931687685298
653,0.7222222222222222,1.3703703703703702,0.00198,0.0001407124727947029,0.00153,0.0001236931687685298
654,0.7222222222222222,1.3888888888888888,0.00196,0.00014,0.00152,0.0001232882800593795
655,0.7222222222222222,1.4074074074074074,0.00196,0.00014,0.00152,0.0001232882800593795
656,0.7222222222222222,1.4259259259259258,0.00194,0.0001392838827718412,0.00151,0.00012288205727444508
657,0.7222222222222222,1.4444444444444444,0.00194,0.0001392838827718412,0.00151,0.00012288205727444508
658,0.7222222222222222,1.4629629629629628,0.00191,0.00013820274961085253,0.0015,0.0001224744871391589
659,0.7222222222222222,1.4814814814814814,0.00189,0.0001374772708486752,0.0015,0.0001224744871391589
660,0.7222222222222222,1.5,0.00188,0.00013711309200802087,0.00149,0.00012206555615733703
661,0.7424242424242424,0.5,0.00351,0.00018734993995195192,0.00249,0.000157797338380595
662,0.7424242424242424,0.5185185185185185,0.00347,0.00018627936010197157,0.00247,0.0001571623364550171
663,0.7424242424242424,0.537037037037037,0.00345,0.0001857417562100671,0.00245,0.00015652475842498528
